id3DHST,RA,DEC,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_A_UV_280,restUjohnson,restVjohnson
17923,53.0619672,-27.8286082,0.0983283,0.1732,0.2,0.104898,2,0.086742,0.0203748,0.0,0.023522,0.0721348,,,-1,0.8294,-1.0,3,0.8294,7.53,-99.0,-99.0,0.053102,0.73,0.0983283,0.0143545,-2.42058,-1.2391,0.922,-15.335007,-15.798478
17931,53.0325641,-27.8291494,0.892111,1.124,1.0033,0.116263,0,0.343308,0.0154685,0.3,0.464641,1.39635,,,-1,0.6646,-1.0,3,0.6646,9.0,1.0723,0.53822,0.5341,0.65,0.892111,0.0754269,-1.91056,-1.6053,0.712,-18.348743,-19.059292
17310,53.0531392,-27.8296957,1.29712,2.242,4.8304,0.291938,1,0.724596,0.0370392,0.5,0.708854,2.08099,,,0,0.834,-1.0,2,0.816,9.23,1.9737,0.20824,1.7655,0.65,1.29712,0.218983,-1.91056,-1.2726,0.91,-18.518355,-19.454789
17967,53.0599678,-27.8288869,0.0030842,0.02302,5.0083,0.790435,1,1.16916,0.136623,0.3,0.17993,0.443856,,,-1,0.8218,-1.0,3,0.8218,8.71,0.8083,0.5321,0.2762,0.08,0.0030842,0.000579953,-0.0109444,0.0025,1.182,-11.599076,-12.236409
17867,53.0686949,-27.8292534,0.305605,1.066,0.6862,0.0212856,0,0.503694,0.00441802,0.7,0.165662,1.54568,,,0,0.6628,-1.0,2,0.6706,9.45,-99.0,-99.0,0.23853,0.62,0.305605,0.0618675,-1.75737,-0.6833,1.024,-17.659173,-19.101759
17975,53.0927096,-27.8284022,0.00991681,0.01534,1.3435,0.559712,0,0.115224,0.0286536,0.0,0.00289288,0.0550424,,,-1,0.8711,-1.0,3,0.8711,7.57,-99.0,-99.0,0.037461,0.67,0.00991681,0.00175613,-2.02258,-1.3999,0.851,-14.355512,-15.488591
17994,53.0440956,-27.828333,0.0203221,0.02354,0.8352,0.313843,0,0.193704,0.0246479,0.0,0.0633674,0.177366,,,-1,0.5394,-1.0,3,0.5394,7.87,-99.0,-99.0,0.043665,0.33,0.0203221,0.000757327,-0.339298,-1.7051,0.624,-14.107181,-14.963289
17981,53.2150326,-27.8282993,0.0102106,0.01327,7.9994,7.23357,2,0.085614,0.0602256,0.1,0.0135082,0.0468029,,,-1,0.8754,-1.0,3,0.8754,7.75,-99.0,-99.0,0.012793,0.63,0.0102106,0.00151795,-1.80785,-1.6239,0.696,-14.10443,-15.11183
17727,53.108996,-27.829575,0.468157,0.6269,2.4628,0.0667727,0,0.181986,0.00230239,0.4,0.0956167,1.32801,,,0,0.735,0.735,1,0.7287,9.93,0.69646,0.53608,0.16038,0.74,0.468157,0.0333031,-2.49385,-1.4605,0.846,-18.078181,-19.679001
17835,53.0603858,-27.8292311,0.996692,1.144,0.628,0.0410042,0,0.395304,0.00639049,0.2,0.677724,1.37006,,,0,0.6024,-1.0,2,0.6123,8.48,0.78784,0.078492,0.70934,0.61,0.996692,0.0747904,-1.70526,-1.7873,0.543,-18.288979,-18.682149
17995,53.0444849,-27.8282416,0.0974767,0.1072,3.065,1.44709,2,0.099996,0.0352741,0.0,0.0350024,0.0533905,,,-1,0.9576,-1.0,3,0.9576,7.53,-99.0,-99.0,0.12287,0.86,0.0974767,0.00533205,-3.16115,-1.8648,0.462,-15.758972,-16.071978
18031,53.0598207,-27.8282984,0.196509,0.2143,4.2945,1.17229,1,0.099756,0.0163318,0.0,0.0868747,0.165691,,,-1,0.765,-1.0,3,0.765,7.77,0.49884,0.34591,0.15292,0.78,0.196509,0.00467162,-2.78306,-1.8287,0.5,-16.642952,-17.011961
17775,53.1965864,-27.828349,0.652106,1.151,2.2687,1.60148,1,1.40044,0.656298,0.0,0.065699,0.108046,,,-1,0.7616,-1.0,3,0.7616,8.96,0.3332,0.32571,0.0074955,1.11,0.652106,0.0786087,-7.22869,-1.1583,1.019,-16.614324,-17.848313
17345,53.0939566,-27.8305113,8.34754,8.34754,4.9435,0.071231,0,0.559014,0.00479664,1.5,0.285557,3.49463,,,0,0.734,0.734,1,0.8404,10.61,6.9334,6.6874,0.24602,0.73,6.9726,0.405203,7.39972,0.2181,2.21,-19.068361,-20.800646
18030,53.0929776,-27.8281307,0.155957,0.1646,2.2952,1.05238,1,0.09726,0.0341581,0.0,0.0301701,0.0355833,,,-1,0.709,-1.0,3,0.709,7.38,-99.0,-99.0,0.02858,1.3,0.155957,0.0093177,-14.4065,-1.9859,0.335,-16.595768,-17.287091
18018,53.2353813,-27.8283007,0.190958,1.304,1.4934,0.524114,0,0.217854,0.0272473,0.1,0.108326,0.314187,,,-1,0.564,-1.0,3,0.564,8.28,0.20002,0.11237,0.087652,0.52,0.190958,0.0365995,-1.16663,-0.088,1.15,-16.001802,-16.79192
18028,53.1707079,-27.8281039,0.175826,0.3014,8.0,4.21774,2,0.098688,0.0379214,0.0,0.019372,0.0277353,,,-1,0.5394,-1.0,3,0.5394,7.41,0.085882,0.077136,0.0087466,1.2,0.175826,0.02527,-9.80963,-1.2645,0.913,-16.060389,-16.733104
18041,53.0377657,-27.8280211,0.0292901,0.03673,0.9594,0.644409,0,0.23862,0.0920189,0.1,0.0346831,0.0854555,,,-1,0.5657,-1.0,3,0.5657,7.59,0.13793,0.092483,0.045445,0.45,0.0292901,0.0016482,-0.791259,-1.5806,0.732,-14.354452,-14.950973
18088,53.0869221,-27.8281908,0.183023,0.2142,1.2013,0.295284,1,0.21351,0.0162116,0.0,0.058998,0.107403,,,-1,0.894,-1.0,3,0.894,8.74,0.20965,0.073274,0.13637,0.85,0.183023,0.0154501,-3.11707,-1.7545,0.576,-16.591134,-17.408925
18052,53.0658757,-27.8279412,0.00715329,0.6507,2.0153,1.13372,1,0.06834,0.0270792,0.5,0.0242445,0.101682,,,-1,0.7409,-1.0,3,0.7409,8.09,0.40201,0.3736,0.028403,0.55,0.00715329,0.00391709,-1.3435,1.9181,1.462,-13.982914,-15.546318
18076,53.1453454,-27.8279567,0.0403429,0.07489,0.7656,0.372675,0,0.284706,0.0651462,0.2,0.0176711,0.0859343,,,-1,0.7101,-1.0,3,0.7101,7.79,0.33931,0.29779,0.041524,0.55,0.0403429,0.00529121,-1.3435,-1.1793,0.941,-14.652225,-15.591966
18069,53.1250249,-27.8279651,0.215629,0.2778,1.013,0.365228,0,0.158292,0.0272728,0.0,0.06744,0.126516,,,-1,0.9225,-1.0,3,0.9225,8.02,-99.0,-99.0,0.15375,0.82,0.215629,0.0208715,-3.00611,-1.5807,0.732,-16.403049,-16.829956
18074,53.1916373,-27.8283389,0.538961,0.6884,2.6112,0.23754,0,0.203136,0.00850643,0.2,0.276158,0.699586,,,-1,0.6028,0.6275,3,0.6028,8.64,0.42462,0.1711,0.25351,0.63,0.538961,0.0585473,-1.80785,-1.6088,0.709,-17.468844,-18.157675
