FIELD_x,ID,RA,DEC,Z_50_x,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,FIELD_y,RA_x,DEC_x,Z_50_y,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_A_UV_280,DL,restUjohnson,restVjohnson,PAB_FLUX_LIMIT,PAB_L_LIMIT,PAB_SFR_LIMIT,PAB_SFR_EX2_LIMIT,RAND,PAB_FLUX_LIMIT_RAND,PAB_L_LIMIT_RAND,PAB_SFR_LIMIT_RAND,PAB_SFR_EX2_LIMIT_RAND
GN3,30243,189.21445465,62.29254371200002,0.2143951190464114,0.005039606202921825,5.921045980724,0.760087803944843,15568.545426174995,GN3,189.21445465,62.29254371200002,0.2143951190464114,30243,0.125516,0.1163,1.6556,1.67093,0,0.16794,0.0709509,0.1,1.25772,2.94513,-16.277786,-16.968648,0,0.2123,0.2123,1,0.2241,8.27,0.13429,0.030605,0.10369,0.21,0.125516,0.00352616,-0.106516,-2.1323,0.197,1072.0545377493338,,,0.760087803944843,1.0451772598238736e+39,-1.0008100478927133,-0.09950913840142228,0.7966234031437718,0.6055037330666169,8.326126656093763e+38,-1.0995569869606285,-0.1982560774693375
GN3,30243,189.21445465,62.29254371200002,0.2143951190464114,0.005039606202921825,5.921045980724,0.760087803944843,15568.545426174995,GN5,189.21445465,62.29254371200002,0.2132622579193781,30243,0.125516,0.1163,1.6556,1.67093,0,0.16794,0.0709509,0.1,1.25772,2.94513,-16.277786,-16.968648,0,0.2123,0.2123,1,0.2241,8.27,0.13429,0.030605,0.10369,0.21,0.125516,0.00352616,-0.106516,-2.1323,0.197,1065.6859905222038,,,0.760087803944843,1.0327963785808596e+39,-1.0059852935583606,-0.10468438406706959,0.6085741400833992,0.4625697816736121,6.285331679760953e+38,-1.2216717994594646,-0.32037088996817353
GN5,30243,189.21445465,62.29254371200002,0.2132622579193781,0.005810891332707726,1.35452914867044,0.6674668525021991,15554.022146526428,GN3,189.21445465,62.29254371200002,0.2143951190464114,30243,0.125516,0.1163,1.6556,1.67093,0,0.16794,0.0709509,0.1,1.25772,2.94513,-16.277786,-16.968648,0,0.2123,0.2123,1,0.2241,8.27,0.13429,0.030605,0.10369,0.21,0.125516,0.00352616,-0.106516,-2.1323,0.197,1072.0545377493338,,,0.6674668525021991,9.178165631666126e+38,-1.0572441091746398,-0.1559431996833488,0.6737926660110568,0.44973427002146554,6.184180690051376e+38,-1.2287178296418304,-0.32741692015053936
GN5,30243,189.21445465,62.29254371200002,0.2132622579193781,0.005810891332707726,1.35452914867044,0.6674668525021991,15554.022146526428,GN5,189.21445465,62.29254371200002,0.2132622579193781,30243,0.125516,0.1163,1.6556,1.67093,0,0.16794,0.0709509,0.1,1.25772,2.94513,-16.277786,-16.968648,0,0.2123,0.2123,1,0.2241,8.27,0.13429,0.030605,0.10369,0.21,0.125516,0.00352616,-0.106516,-2.1323,0.197,1065.6859905222038,,,0.6674668525021991,9.069443615714958e+38,-1.0624193548402872,-0.1611184453489961,0.4049817861381185,0.2703119181143287,3.6729594747711994e+38,-1.454983863372746,-0.553682953881455
GS4,26639,53.14211591688386,-27.78669472504702,0.2287977853651849,0.0056850444137075224,5.86607480710474,0.862925903265404,15753.187608381671,GS4,53.14211591688386,-27.78669472504702,0.2287977853651849,26639,0.794862,0.794862,0.5596,0.000943332,0,0.570426,0.000320546,1.2,5.17798,18.6096,,,0,0.227,0.227,1,0.2266,9.02,0.73225,0.34921,0.38305,0.23,0.737004,0.0880822,0.476833,-0.8741,1.001,1153.6176392624077,-18.04136,-19.118787,0.862925903265404,1.374009422271192e+39,-0.8820102890913546,-0.7494801340375342,0.7651106391648934,0.6602337893993362,1.0512692272924979e+39,-0.9982860480495219,-0.8657558929957015
GN3,26767,189.26841052,62.273275856,0.2833850336170852,0.11603389731895172,5.81082686501297,1.5231244646565598,16452.99613097103,GN3,189.26841052,62.273275856,0.2833850336170852,26767,0.0461198,0.04622,1.896,0.161077,0,0.161532,0.0053729,0.0,0.24099,0.79667,-15.632825,-16.526582,0,0.28467,-1.0,2,0.2954,8.09,0.096252,0.051188,0.045063,0.31,0.0461198,0.000375025,-0.287809,-2.2202,0.0,1472.5133781084755,,,1.5231244646565598,3.951357472568155e+39,-0.4232536786604868,0.9128589060447945,1.6271948157387426,2.4784202326140017,6.429628394493443e+39,-0.21181412674678768,1.1242984579584936
GN3,26767,189.26841052,62.273275856,0.2833850336170852,0.11603389731895172,5.81082686501297,1.5231244646565598,16452.99613097103,GN4,189.26841052,62.27327585599999,0.2140607069098986,26767,0.0461198,0.04622,1.896,0.161077,0,0.161532,0.0053729,0.0,0.24099,0.79667,-15.632825,-16.526582,0,0.28467,-1.0,2,0.2954,8.09,0.096252,0.051188,0.045063,0.31,0.0461198,0.000375025,-0.287809,-2.2202,0.0,1070.1738744290583,,,1.5231244646565598,2.0870675814666188e+39,-0.700463487789925,0.6356490969153563,0.4456511330285874,0.6787821434177564,9.301040323878325e+38,-1.0514684727738697,0.2846441119314116
GN4,26767,189.26841052,62.27327585599999,0.2140607069098986,0.2743264473903232,4.78704599711895,1.45813182475995,15564.258262584899,GN3,189.26841052,62.273275856,0.2833850336170852,26767,0.0461198,0.04622,1.896,0.161077,0,0.161532,0.0053729,0.0,0.24099,0.79667,-15.632825,-16.526582,0,0.28467,-1.0,2,0.2954,8.09,0.096252,0.051188,0.045063,0.31,0.0461198,0.000375025,-0.287809,-2.2202,0.0,1472.5133781084755,,,1.45813182475995,3.782750665129536e+39,-0.4421922836945811,0.8939203010107002,1.1856829760920287,1.7288820815158779,4.485143066444889e+39,-0.3682236993363688,0.9678888853689125
GN4,26767,189.26841052,62.27327585599999,0.2140607069098986,0.2743264473903232,4.78704599711895,1.45813182475995,15564.258262584899,GN4,189.26841052,62.27327585599999,0.2140607069098986,26767,0.0461198,0.04622,1.896,0.161077,0,0.161532,0.0053729,0.0,0.24099,0.79667,-15.632825,-16.526582,0,0.28467,-1.0,2,0.2954,8.09,0.096252,0.051188,0.045063,0.31,0.0461198,0.000375025,-0.287809,-2.2202,0.0,1070.1738744290583,,,1.45813182475995,1.998011148515991e+39,-0.7194020928240192,0.616710491881262,1.215791419247493,1.7727841606748362,2.42916480992657e+39,-0.6345430189068821,0.7015695657983991
GS4,25934,53.18656355307373,-27.79023332502855,0.1269585316467,0.007290539137053028,5.69937340665894,1.77882186860636,14447.608375710695,GS4,53.18656355307373,-27.79023332502855,0.1269585316467,25934,0.0150246,0.02015,1.6633,0.114843,1,0.448194,0.0171014,0.3,0.852025,1.64007,,,0,0.12581,-1.0,2,0.1217,7.18,-99.0,-99.0,0.020723,0.11,0.0150246,0.0025022,-0.0225978,-1.5895,0.725,601.4462800050616,-14.103226,-15.046979,1.77882186860636,7.698720896080976e+38,-1.1335814246870868,0.6896156567083647,0.8940518119388563,1.5903589147439783,6.883055366752733e+38,-1.1822187370017687,0.6409783443936827
